9:32:55 AM  [main] 	Initializing Control Panel
9:32:55 AM  [main] 	Windows Version:  Enterprise  64-bit
9:32:55 AM  [main] 	XAMPP Version: 7.4.27
9:32:55 AM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
9:32:55 AM  [main] 	You are not running with administrator rights! This will work for
9:32:55 AM  [main] 	most application stuff but whenever you do something with services
9:32:55 AM  [main] 	there will be a security dialogue or things will break! So think 
9:32:55 AM  [main] 	about running this application with administrator rights!
9:32:55 AM  [main] 	XAMPP Installation Directory: "f:\project2\"
9:32:55 AM  [main] 	Checking for prerequisites
9:32:55 AM  [main] 	All prerequisites found
9:32:55 AM  [main] 	Initializing Modules
9:32:55 AM  [main] 	Starting Check-Timer
9:32:55 AM  [main] 	Control Panel Ready
9:32:57 AM  [mysql] 	Attempting to start MySQL app...
9:32:58 AM  [mysql] 	Status change detected: running
9:32:58 AM  [Apache] 	Attempting to start Apache app...
9:32:58 AM  [Apache] 	Status change detected: running
1:10:44 PM  [main] 	Deinitializing Modules
1:10:44 PM  [main] 	Deinitializing Control Panel

